id;job_title;location;connection;fit;Star
100;Aspiring human resources manager, graduating may 2020, seeking an entry-level human resources position in st. louis;Cape Girardeau, Missouri;103;1; 
29;Aspiring human resources management student seeking an internship;Houston, Texas Area;500;1; 
27;Aspiring human resources management student seeking an internship;Houston, Texas Area;500;1; 
73;Aspiring human resources manager, seeking internship in human resources.;Houston, Texas Area;7;1; 
1;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
58;Aspiring human resources professional;Raleigh-Durham, North Carolina Area;44;0.83; 
36;Aspiring human resources specialist;Greater New York City Area;1;0.83; 
37;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
39;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
40;Seeking human resources HRIS and generalist positions;Greater Philadelphia Area;500;0.83;x
44;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
46;Aspiring human resources professional;Raleigh-Durham, North Carolina Area;44;0.83; 
49;Aspiring human resources specialist;Greater New York City Area;1;0.83; 
50;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
52;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
57;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
60;Aspiring human resources specialist;Greater New York City Area;1;0.83; 
31;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
62;Seeking human resources HRIS and generalist positions;Greater Philadelphia Area;500;0.83; 
66;Experienced retail manager and aspiring human resources professional;Austin, Texas Area;57;0.83; 
70;Retired army national guard recruiter, office manager, seeking a position in human resources.;Virginia Beach, Virginia;82;0.83; 
72;Business management major and aspiring human resources manager;Monroe, Louisiana Area;5;0.83; 
75;Nortia staffing is seeking human resources, payroll & administrative professionals!! (408) 709-2621;San Jose, California;500;0.83; 
76;Aspiring human resources professional, passionate about helping to create an inclusive and engaging work environment;New York, New York;212;0.83; 
79;Liberal arts major. aspiring human resources analyst.;Baton Rouge, Louisiana Area;7;0.83; 
82;Aspiring human resources professional, an energetic and team-focused leader;Austin, Texas Area;174;0.83; 
94;Seeking human resources opportunities. open to travel and relocation.;Amerika Birleşik Devletleri;415;0.83; 
97;Aspiring human resources professional;Kokomo, Indiana Area;71;0.83; 
99;Seeking human resources position;Las Vegas, Nevada Area;48;0.83; 
33;Aspiring human resources professional;Raleigh-Durham, North Carolina Area;44;0.83; 
53;Seeking human resources HRIS and generalist positions;Greater Philadelphia Area;500;0.83; 
21;Aspiring human resources professional;Raleigh-Durham, North Carolina Area;44;0.83; 
15;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
9;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
28;Seeking human resources opportunities;Chicago, Illinois;390;0.83; 
10;Seeking human resources HRIS and generalist positions;Greater Philadelphia Area;500;0.83; 
3;Aspiring human resources professional;Raleigh-Durham, North Carolina Area;44;0.83; 
25;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
24;Aspiring human resources specialist;Greater New York City Area;1;0.83; 
7;Student at humber college and aspiring human resources generalist;Kanada;61;0.83; 
19;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
